,urn,title,authors,year
1501,URN:NBN:no-nb_digibok_2018020248353,Grip teksten : norsk vg1 : studieforberedende utdanningsprogram,"Dahl , Berit Helene / Halaas , Liz Bowman / Johannesen , Nina Hovda",2013
1559,URN:NBN:no-nb_digibok_2020012807048,Mat ein edderkopp,"Ersland , Bjørn Arild",2013
241,URN:NBN:no-nb_digibok_2018061907575,"Hei, bestefar","Johnsen , Janne Aasebø",2013
1510,URN:NBN:no-nb_digibok_2020091707649,Rosa klede,"Ersland , Bjørn Arild",2013
1519,URN:NBN:no-nb_digibok_2020091707595,"Tut, Nut og Knut","Ersland , Bjørn Arild",2013
1522,URN:NBN:no-nb_digibok_2019112807094,Ixi og Smule,"Sunne , Linn T.",2013
2921,URN:NBN:no-nb_digibok_2020040107095,Salto : [1. trinn] Arbeidsbok A : store bokstavar,"Fjeld , Siw Monica",2013
243,URN:NBN:no-nb_digibok_2021010707515,Gudane på Olympos,"Kristensen , Vidar",2013
559,URN:NBN:no-nb_digibok_2013071708132,Kule kroppen,"Sønneland , Håkon Forfod",2013
3896,URN:NBN:no-nb_digibok_2019082707012,Ordriket : Lesebok 1B,,2013
901,URN:NBN:no-nb_digibok_2020112407680,Zeppelin : [7. trinn] Lesebok 7 pluss Arbeidsbok til Lesebok 7 pluss,"Holm , Dagny / Løkken , Bjørg Gilleberg / Bjørkvold , Tuva",2013
568,URN:NBN:no-nb_digibok_2018082307066,Min,"Andersen , Torill",2013
790,URN:NBN:no-nb_digibok_2020120806158,"Ny i Norge : tekstbok : Øvinger i lytteforståelse : dekker nivå A1 og nivå A2 i ""Læreplan i norsk og samfunnskunnskap"" fra 2012","Manne , Gerd",2013
1276,URN:NBN:no-nb_digibok_2013071808087,"Mal, Mia","Andersen , Torill",2013
581,URN:NBN:no-nb_digibok_2013071808083,Jeg,"Andersen , Torill",2013
2711,URN:NBN:no-nb_digibok_2018061307527,Kim er spent,"Klepp , Anneli",2013
579,URN:NBN:no-nb_digibok_2018061307526,Asif skader seg,"Sunne , Linn T.",2013
1712,URN:NBN:no-nb_digibok_2018041148017,"Du og jeg, Knute","Lindboe , Karin Kinge",2013
4136,URN:NBN:no-nb_digibok_2020031907110,Intertekst vg1 : norsk vg1 studieforberedende utdanningsprogram,"Garthus , Karen Marie Kvåle",2013
918,URN:NBN:no-nb_digibok_2018103007012,"Tett på : norsk for yrkesfag : vg 1, vg 2","Elseth , Egil / Hoen , Kari Anne",2013
291,URN:NBN:no-nb_digibok_2014121107516,"Tett på : norsk for yrkesfag : vg 1, vg 2","Hoen , Kari Anne / Elseth , Egil",2013
2740,URN:NBN:no-nb_digibok_2013082808040,Ordriket : Bokstavbok 1,,2013
1373,URN:NBN:no-nb_digibok_2021072148069,Klassebildet,"Markhus , Vegard",2013
2741,URN:NBN:no-nb_digibok_2018082748118,ABC-toget : Rød 2,"Devold , Else H.",2013
2751,URN:NBN:no-nb_digibok_2020022107048,Ordriket : Lesebok 1A,,2013
2839,URN:NBN:no-nb_digibok_2018071707128,Bestemor og bestefar,"Andersen , Torill",2013
3867,URN:NBN:no-nb_digibok_2019082607081,Skriving pågår : A,"Gedde-Dahl , Trine / Øgreid , Anne Kristine",2013
915,URN:NBN:no-nb_digibok_2020121507681,Ordriket : Lesebok 3B,,2013
3095,URN:NBN:no-nb_digibok_2016020408292,ABC-toget : Blå 2,"Devold , Else H.",2013
2770,URN:NBN:no-nb_digibok_2021102548508,Ny i Norge : tekstbok : Lærerveiledning,"Manne , Gerd",2013
3854,URN:NBN:no-nb_digibok_2013070908017,Signatur 3 : norsk påbygging : studiekompetanse : Tekstsamling,,2013
3082,URN:NBN:no-nb_digibok_2018061307533,Eg,"Andersen , Torill",2013
3081,URN:NBN:no-nb_digibok_2019121007011,Salto : [1. trinn] Arbeidsbok B : store og små bokstavar,"Fjeld , Siw Monica",2013
1391,URN:NBN:no-nb_digibok_2020110507738,Lesing pågår : A,"Solem , Hanne",2013
533,URN:NBN:no-nb_digibok_2021020405037,Ordriket : Lærerveiledning 1,,2013
3074,URN:NBN:no-nb_digibok_2021011207704,Panorama : norsk vg1 : studieforberedende,"Røskeland , Marianne / Hoen , Kari Anne",2013
1394,URN:NBN:no-nb_digibok_2018082207058,Marihøne,"Ersland , Bjørn Arild",2013
1652,URN:NBN:no-nb_digibok_2013082908052,Ordriket : Arbeidsbok 3A,,2013
1635,URN:NBN:no-nb_digibok_2013071508023,Rosa klær,"Ersland , Bjørn Arild",2013
1632,URN:NBN:no-nb_digibok_2018091907087,Hvor er Nurre?,"Johnsen , Janne Aasebø",2013
3102,URN:NBN:no-nb_digibok_2013071808084,Syk,"Johnsen , Janne Aasebø",2013
1889,URN:NBN:no-nb_digibok_2020031907066,Salto : [1. trinn] Arbeidsbok A : stavskrift,"Fjeld , Siw Monica",2013
1281,URN:NBN:no-nb_digibok_2020100807826,Salto : [1. trinn] Arbeidsbok B : stavskrift,"Fjeld , Siw Monica",2013
3278,URN:NBN:no-nb_digibok_2018062807034,Det går bra! : for deg som lærer norsk på høyere nivå : nivå B2 : grunnbok : Arbeidsbok,"Lønn , Cecilie",2013
4768,URN:NBN:no-nb_digibok_2021020405002,Salto 1 : lærarbok,"Fjeld , Siw Monica",2013
