,urn,title,authors,year
3432,URN:NBN:no-nb_digibok_2011111608080,Da klokka klang : lærerens bok,"Aga , Elsa / Thaugland , Calli",1971
819,URN:NBN:no-nb_digibok_2014032738014,En glad gutt,"Bjørnson , Bjørnstjerne / Haakonsen , Daniel",1971
1176,URN:NBN:no-nb_digibok_2021062948617,Jeg leser selv : stillelesningshefte. 2,"Asheim , Sigvald",1971
1178,URN:NBN:no-nb_digibok_2009080401079,Jeg leser og skriver. 3 : Norskhefte,"Gjerdrum , Anne-Lise",1971
1184,URN:NBN:no-nb_digibok_2012041308150,Litteratur : noveller : forsøkstekst. 1,"Karlsen , Bjørn",1971
692,URN:NBN:no-nb_digibok_2012011008097,Setninger : emnehefte i norsk for ungdomsskolen,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1971
2422,URN:NBN:no-nb_digibok_2012011808024,"Med a og b til Alababa : Bli med til Alababa : en orientering til foreldre med barn som bruker leseverket ""Med a og b til alababa""","Vormeland , Sigrun",1971
2099,URN:NBN:no-nb_digibok_2008073000030,Norsk på ny,"Hellevik , Alf",1971
2071,URN:NBN:no-nb_digibok_2008090200004,Cappelens norskverk : grunnbok for ... skoleår : [bokmål]. 2 : Stillelesningshefte,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
3325,URN:NBN:no-nb_digibok_2008052700004,Med sang og spill til Alababa,"Dahl , Mathias",1971
1255,URN:NBN:no-nb_digibok_2009012004163,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Kontrolldiktater,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
3298,URN:NBN:no-nb_digibok_2012041908097,Arbeidsbok 9. skoleår,"Råheim , Bjørg / Havnelid , Anders",1971
3295,URN:NBN:no-nb_digibok_2016010707548,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Kontrolloppgaver,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
662,URN:NBN:no-nb_digibok_2009070901067,"Les og skriv rett. 8 : J, gj, gi, gy, gei, gøy, hj : øvingar med j-lyden","Gulseth , Ivar M.",1971
4580,URN:NBN:no-nb_digibok_2008090200007,Cappelens norskverk : grunnbok for ... skoleår : [bokmål]. 1 : Stillelesningshefte,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
3283,URN:NBN:no-nb_digibok_2011011905016,Konjunksjon/preposisjon : emnehefte i norsk for ungdomsskolen,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1971
3523,URN:NBN:no-nb_digibok_2008120904136,"[Thorbjørn] Egners lesebøker : håndbok for læreren. 2 : For fjerde, femte og sjette skoleår","Egner , Thorbjørn / Gaarder , Inger Margrethe",1971
3714,URN:NBN:no-nb_digibok_2011011106042,Feltforsøk : en orientering,,1971
929,URN:NBN:no-nb_digibok_2012020208102,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Grunnbok for 3. skuleår,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
4808,URN:NBN:no-nb_digibok_2009012004135,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Grunnbok for 4. skoleår,"Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Gaarder , Inger Margrethe / Thaugland , Calli / Bosheim , Kari",1971
637,URN:NBN:no-nb_digibok_2008100700012,Kva las du no?. H. 5 : Øvingar i stillelesing og studieteknikk,"Dahl , Asta Holter",1971
2122,URN:NBN:no-nb_digibok_2008121604077,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte [B] Svarbok til emnehefter B-serien,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
2585,URN:NBN:no-nb_digibok_2020102165033,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Firkort J-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
2578,URN:NBN:no-nb_digibok_2011020206086,Are og Eva får en bror,"Dugstad , Bodil Skjånes / Dugstad , Nils . / Horgen , Roar",1971
4431,URN:NBN:no-nb_digibok_2009010900033,Norsklære for ungdomsskolen : nynorsk,"Dale , Johs . A. / Vinje , Finn-Erik",1971
4219,URN:NBN:no-nb_digibok_2012022208091,"Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte C Grammatikk : setninger, substantiv, verb",,1971
78,URN:NBN:no-nb_digibok_2009012700015,Thorbjørn Egners lesebøker : stillelesningsoppgaver. 4 : Verden er stor,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1971
1847,URN:NBN:no-nb_digibok_2008071800090,Rett ord på riktig sted,"Knappen , A. E.",1971
4306,URN:NBN:no-nb_digibok_2020110265003,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Lesebingo Skj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
3038,URN:NBN:no-nb_digibok_2011011806122,Muntlig framføring : emnehefte i norsk for ungdomsskolen,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1971
2222,URN:NBN:no-nb_digibok_2011012406047,Jeg leser og skriver. h. 4 : Norskhefte Ta fatt! Nå går det glatt,"Gjerdrum , Anne-Lise",1971
560,URN:NBN:no-nb_digibok_2012011808148,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte A Dobbelt konsonant,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
1503,URN:NBN:no-nb_digibok_2020110265002,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Lesebingo Gj/kj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
2136,URN:NBN:no-nb_digibok_2011011406101,Skriftlig norsk for ungdomsskolen : 8. skoleår,"Gundersen , Dag / Wiik , Kjell / Hansen , Bjørn",1971
2976,URN:NBN:no-nb_digibok_2022031058025,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Lesebingo Sj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
2193,URN:NBN:no-nb_digibok_2008052304033,Les med oss!,"Nesse , Odd / Grossmann , Kari",1971
2175,URN:NBN:no-nb_digibok_2009062300001,Kva las du no?. H. 5 : Øvingar i stillelesing og studieteknikk Arbeidshefte Fasit til,"Dahl , Asta Holter",1971
4199,URN:NBN:no-nb_digibok_2011012406048,Jeg leser og skriver. H. 3 : Det er lett å skrive rett,"Gjerdrum , Anne-Lise",1971
1924,URN:NBN:no-nb_digibok_2011011106041,Norsk i dag : Lærerens bok,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1971
47,URN:NBN:no-nb_digibok_2011102108152,Norsklære for ungdomsskolen : bokmål,"Dale , Johs . A. / Vinje , Finn-Erik",1971
4179,URN:NBN:no-nb_digibok_2021062948614,Cappelens norskverk emnehefte : studieteknikk E,"Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne",1971
4673,URN:NBN:no-nb_digibok_2012041908152,Kva las du no?. H. 5 : Øvingar i stillelesing og studieteknikk Arbeidshefte,"Dahl , Asta Holter",1971
437,URN:NBN:no-nb_digibok_2020030565019,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Firkort Skj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
3000,URN:NBN:no-nb_digibok_2020030665026,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Firkort Dobbelt konsonant,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
359,URN:NBN:no-nb_digibok_2008052201009,Aschehougs litteraturutvalg for aldersgruppen 13-17. 1,"Alnæs , Jan Jørgen / Nesset , Kåre / Goplen , Arne",1971
2542,URN:NBN:no-nb_digibok_2020030565023,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Firkort Kort å-lyd,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
119,URN:NBN:no-nb_digibok_2013060408146,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte A Kj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
2940,URN:NBN:no-nb_digibok_2009012900022,Thorbjørn Egners lesebøker : stillelesningsoppgaver. 3 : Sør og nord i landet,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1971
1541,URN:NBN:no-nb_digibok_2012072608076,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte C J-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
1436,URN:NBN:no-nb_digibok_2020030565020,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Firkort Kj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
1417,URN:NBN:no-nb_digibok_2009012700072,Thorbjørn Egners lesebøker : stillelesningsoppgaver. 1 : I byen og på landet,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1971
4126,URN:NBN:no-nb_digibok_2011011106047,Tegnsetting : emnehefte i norsk for ungdomsskolen,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1971
2642,URN:NBN:no-nb_digibok_2012062208141,Lasse får kaniner,"Hermansen , Knud / Fjær , Arnold / Kühn Nielsen , Helge / Raadal , Ellen",1971
1402,URN:NBN:no-nb_digibok_2008072104087,Litteratur : utdrag av ungdomsbøker : forsøkstekst. 1,"Karlsen , Bjørn",1971
1770,URN:NBN:no-nb_digibok_2012011608047,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte A Alfabetet/j-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
599,URN:NBN:no-nb_digibok_2012010208038,Eg les sjølv. 2 : Stillelesingshefte,"Asheim , Sigvald / Gjerdrum , Anne-Lise",1971
1856,URN:NBN:no-nb_digibok_2011050904044,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte A Kort å-lyd,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
2736,URN:NBN:no-nb_digibok_2011110908072,"Melodi og rytme : den grunnleggende musikkopplæring og lærerveiledning til ""Med sang og spill til Alababa""","Dahl , Mathias",1971
1404,URN:NBN:no-nb_digibok_2012011808105,Litt av hvert : emnehefte i norsk for ungdomsskolen. 2,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1971
2155,URN:NBN:no-nb_digibok_2011111608049,Aschehougs litteraturutvalg for aldersgruppen 13-17 : Studiehefte,"Alnæs , Jan Jørgen / Nesset , Kåre / Goplen , Arne",1971
2562,URN:NBN:no-nb_digibok_2012020208151,Jeg leser og skriver. H. 4 : Ta fatt! : nå går det glatt,"Gjerdrum , Anne-Lise",1971
580,URN:NBN:no-nb_digibok_2009070100038,"Les og skriv rett. 8 : J, gj, gi, gy, gei, gøy, hj : øvinger med j- lyden","Gulseth , Ivar M.",1971
4740,URN:NBN:no-nb_digibok_2020101265018,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Lesebingo Dobbelt konsonant,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1971
4524,URN:NBN:no-nb_digibok_2008081300010,Miljøet og mennesket : lesebok for yrkesutdannende skoler,"Hernes , Otto / Sandvik , Joralf",1972
3351,URN:NBN:no-nb_digibok_2012012408139,Norsk for maritime skoler,"Berg , Ivar / Knappen , A. E. / Solheim , Bjørn Elling",1972
917,URN:NBN:no-nb_digibok_2021062348792,Hva leste du nå? : fasit til arbeidshefte 5 : øvinger i stillelesing og studieteknikk for 6. skoleår,"Dahl , Asta Holter",1972
3946,URN:NBN:no-nb_digibok_2012050208013,"Treningshefte 1 : høyre, sjå, seie, gjere : vi øver med ord og tal","Brockstedt , Håkan / Refsnes , Inger Anne",1972
1813,URN:NBN:no-nb_digibok_2012011908069,"Skriftlig og muntlig norsk : for ungdomsskolen, 9. skoleår","Gundersen , Dag / Hansen , Bjørn",1972
3957,URN:NBN:no-nb_digibok_2012053108061,Thorbjørn Egners lesebøker : stillelesingsoppgåver. 2 : Gode vener,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1972
1226,URN:NBN:no-nb_digibok_2012053008292,Thorbjørn Egners lesebøker : stillelesingsoppgåver. 4 : Verda er stor,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1972
1850,URN:NBN:no-nb_digibok_2017070307012,"Visjon og virkelighet : studiebok for elev og lærer : kommentar, arbeidsoppgaver, forfatterportretter","Elseth , Egil / Ramsfjell , Berit Sagen",1972
2387,URN:NBN:no-nb_digibok_2008072104097,Litteratur : noveller : forsøkstekst. 1,"Karlsen , Bjørn",1972
3345,URN:NBN:no-nb_digibok_2012053008137,Litteratur : eventyr : forsøkstekst. 2,"Sand , Unni / Senje , Cathrine",1972
4560,URN:NBN:no-nb_digibok_2012032209007,Da klokka klang. 8 : Diagnostiske oppgaver Prøve 8,"Aga , Elsa / Thaugland , Calli",1972
2513,URN:NBN:no-nb_digibok_2008071500022,By og land : aktivitetshefte i o-fag og norsk,"Dugstad , Bodil Skjånes / Haukland , Astrid",1972
2400,URN:NBN:no-nb_digibok_2012013108001,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte A Dobbel konsonant,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
2512,URN:NBN:no-nb_digibok_2012061808235,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte A Kj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
3820,URN:NBN:no-nb_digibok_2012060108113,Første steget. 2 A : Trening Se og tegn,"Dahl , Asta Holter",1972
4685,URN:NBN:no-nb_digibok_2012022308002,Modeller : 113 stiloppgaver med utgangspunkt i tekster,"Johnsen , Egil Børre",1972
2173,URN:NBN:no-nb_digibok_2009080401078,Jeg leser og skriver. 2 : Norskhefte,"Gjerdrum , Anne-Lise",1972
3652,URN:NBN:no-nb_digibok_2012012508126,Første steget : lærerveiledning og fasit,"Dahl , Asta Holter",1972
3394,URN:NBN:no-nb_digibok_2012053008166,"Språket i bruk : beskrivelse, rapport, referat",,1972
4196,URN:NBN:no-nb_digibok_2012011908044,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte A Sj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
510,URN:NBN:no-nb_digibok_2012041308151,Rettskrivning og tegnsetting : arbeidsbok i rettskrivning og tegnsetting,"Knappen , A. E.",1972
3382,URN:NBN:no-nb_digibok_2012022308102,Cappelens norskverk. 5 : Grunnbok for 5. skoleår,"Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne",1972
2200,URN:NBN:no-nb_digibok_2009012100038,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte B Kj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
102,URN:NBN:no-nb_digibok_2012032109073,Da klokka klang. 9 : Diagnostiske oppgaver Prøve 9,"Aga , Elsa / Thaugland , Calli",1972
697,URN:NBN:no-nb_digibok_2008072104095,Litteratur : dokumentarlitteratur og sakprosa : forsøkstekst. 2,"Karlsen , Bjørn",1972
2536,URN:NBN:no-nb_digibok_2012041908022,Boka om Anne og Jon,"Asheim , Sigvald / Olsen , Vivian Zahl",1972
2385,URN:NBN:no-nb_digibok_2012032109071,Da klokka klang. 5 : Diagnostiske oppgaver Prøve 5,"Aga , Elsa / Thaugland , Calli",1972
2174,URN:NBN:no-nb_digibok_2009022604020,Skrivetrening : norsk skriftlig for videregående skoler,"Johnsen , Egil Børre",1972
4213,URN:NBN:no-nb_digibok_2012022208033,Norsk-oppgåver for ungdomsskulen - 2 : ei hjelpebok for 8. og 9. skuleåret,"Solheim , Bjørn Elling",1972
2581,URN:NBN:no-nb_digibok_2008061700035,Litteratur : utdrag av ungdomsbøker : forsøkstekst. 2,"Karlsen , Bjørn",1972
3444,URN:NBN:no-nb_digibok_2012053108060,Thorbjørn Egners lesebøker : stillelesingsoppgåver. 3 : Sør og nord i landet,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1972
1607,URN:NBN:no-nb_digibok_2008072104085,Litteratur : noveller : forsøkstekst. 3,"Karlsen , Bjørn",1972
960,URN:NBN:no-nb_digibok_2012020308105,Første steget. 2 C : Trening Husker du?,"Dahl , Asta Holter",1972
532,URN:NBN:no-nb_digibok_2011060308066,Fasit til Norsk,"Knappen , A. E. / Solheim , Bjørn Elling",1972
2997,URN:NBN:no-nb_digibok_2009012004164,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Emnehefte C Fasit til emnehefter C-serien,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
768,URN:NBN:no-nb_digibok_2017071068003,Første steget : Til møtet med de nye førsteklassingene,"Dahl , Asta Holter",1972
1713,URN:NBN:no-nb_digibok_2008072104092,Litteratur : utdrag av ungdomsbøker : forsøkstekst. 2,"Karlsen , Bjørn",1972
2753,URN:NBN:no-nb_digibok_2017111748111,Første steget. 2 F : Trening Se og sammenlign,"Dahl , Asta Holter",1972
1862,URN:NBN:no-nb_digibok_2009080401008,Aschehougs litteraturutvalg for aldersgruppen 13-17 : Studiehefte,"Alnæs , Jan Jørgen / Nesset , Kåre / Goplen , Arne",1972
634,URN:NBN:no-nb_digibok_2012072508257,Litt av hvert : emnehefte i norsk for ungdomsskolen. 3,"Gundersen , Dag / Hansen , Bjørn / Wiik , Kjell",1972
2743,URN:NBN:no-nb_digibok_2012032109065,Da klokka klang. 7 : Diagnostiske oppgaver Prøve 7,"Aga , Elsa / Thaugland , Calli",1972
2737,URN:NBN:no-nb_digibok_2009012900081,"Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte B Alfabetet, dobbel konsonant","Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
2248,URN:NBN:no-nb_digibok_2012032109067,Da klokka klang. 3 : Diagnostiske oppgaver Prøve 3,"Aga , Elsa / Thaugland , Calli",1972
209,URN:NBN:no-nb_digibok_2012013108009,Første steget. 2 E : Trening Like eller ulike?,"Dahl , Asta Holter",1972
2321,URN:NBN:no-nb_digibok_2017021708109,Lærebok i norsk for svensker,"Fjeldstad , Anton",1972
4081,URN:NBN:no-nb_digibok_2009012004162,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Kontrolldiktatar,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
4579,URN:NBN:no-nb_digibok_2009012004134,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Grunnbok for 4. skuleår,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
4092,URN:NBN:no-nb_digibok_2008121600005,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte B Kort å-lyd,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
4638,URN:NBN:no-nb_digibok_2008072104096,Litteratur : eventyr : forsøkstekst. 2,"Sand , Unni / Senje , Cathrine",1972
1422,URN:NBN:no-nb_digibok_2008121600004,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte A Kort å-lyd,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
2236,URN:NBN:no-nb_digibok_2009042200050,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte C Sj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
4132,URN:NBN:no-nb_digibok_2008072104098,Litteratur : noveller : forsøkstekst. 2,"Karlsen , Bjørn",1972
4096,URN:NBN:no-nb_digibok_2012012708142,Første steget. 3 : Lyttetreningshefte,"Dahl , Asta Holter",1972
3051,URN:NBN:no-nb_digibok_2008072504003,Rett ord på riktig sted : Arbeidsbok til Rett ord på riktig sted,"Knappen , A. E.",1972
3045,URN:NBN:no-nb_digibok_2012053108062,Thorbjørn Egners lesebøker : stillelesingsoppgåver. 1 : På landet og i byen,"Egner , Thorbjørn / Gjerdrum , Anne-Lise",1972
3889,URN:NBN:no-nb_digibok_2009012900082,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte B Synonym/j-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
1442,URN:NBN:no-nb_digibok_2016030368020,Første steget : [Protokollføring],"Dahl , Asta Holter",1972
331,URN:NBN:no-nb_digibok_2009042200051,"Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte C Grammatikk : setningar, substantiv, verb","Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
2480,URN:NBN:no-nb_digibok_2012053008138,Litteratur : eventyr : forsøkstekst. 1,"Sand , Unni / Senje , Cathrine",1972
3778,URN:NBN:no-nb_digibok_2012042708111,Thorbjørn Egners lesebøker. 15 : Kunst og kulturarv : essays og artikler - og glimt fra litteraturen,"Egner , Thorbjørn",1972
536,URN:NBN:no-nb_digibok_2008072104091,Litteratur : utdrag av ungdomsbøker : forsøkstekst. 1,"Karlsen , Bjørn",1972
992,URN:NBN:no-nb_digibok_2009042200048,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte C J-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
1475,URN:NBN:no-nb_digibok_2012072508248,Analyse : emnehefte i norsk for ungdomsskolen,"Gundersen , Dag",1972
2704,URN:NBN:no-nb_digibok_2009012100037,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte B Sj-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
3777,URN:NBN:no-nb_digibok_2008061204011,Muntlig og skriftlig : praktisk språkforming. 1,"Solheim , Bjørn Elling / Tjeltveit , Njål",1972
2489,URN:NBN:no-nb_digibok_2012020308108,Første steget. 2 D : Trening På egen hånd,"Dahl , Asta Holter",1972
3855,URN:NBN:no-nb_digibok_2009021804152,Første steget. 2 B : Trening Se og fortell,"Dahl , Asta Holter",1972
1866,URN:NBN:no-nb_digibok_2008072104086,Litteratur : noveller : forsøkstekst. 2,"Karlsen , Bjørn",1972
1677,URN:NBN:no-nb_digibok_2012060508028,Svarhefte til rettskrivning og tegnsetting,"Knappen , A. E.",1972
3238,URN:NBN:no-nb_digibok_2012011908018,Cappelens norskverk : grunnbok for ... skoleår : [bokmål] : Grunnbok for 5. skoleår,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
3582,URN:NBN:no-nb_digibok_2008121100060,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte A Alfabetet/j-lyden,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
1817,URN:NBN:no-nb_digibok_2009021204119,Aschehougs litteraturutvalg for aldersgruppen 13-17. 3,"Alnæs , Jan Jørgen / Nesset , Kåre / Goplen , Arne",1972
3226,URN:NBN:no-nb_digibok_2009042200049,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Emnehefte C Dobbel konsonant,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
4542,URN:NBN:no-nb_digibok_2012032109072,Da klokka klang. 6 : Diagnostiske oppgaver Prøve 6,"Aga , Elsa / Thaugland , Calli",1972
3221,URN:NBN:no-nb_digibok_2012022308028,Språket i funksjon : veiledning i stilskrivning og språkforståelse,"Hambro , Carl / Rudeng , Erik / Svortdal , Knut",1972
3676,URN:NBN:no-nb_digibok_2012011308082,Cappelens norskverk : grunnbok for ... skoleår : [bokmål]. 3 : Stillelesningshefte,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1972
1346,URN:NBN:no-nb_digibok_2012032109070,Da klokka klang. 4 : Diagnostiske oppgaver Prøve 4,"Aga , Elsa / Thaugland , Calli",1972
394,URN:NBN:no-nb_digibok_2012082409024,Skriftforming. 1 : Orientering til foreldre : øvingsark for læreren : observasjonsskjemaer,"Moriggi , Sigrun Nygaard / Arnesen , Jakob Rask",1973
2838,URN:NBN:no-nb_digibok_2008082200080,Med orda på jorda. 1 : Arbeidshefte På en gard,"Sørhuglen , Marit / Strøm , Tonje / Vormeland , Sigrun",1973
3693,URN:NBN:no-nb_digibok_2012041308185,Norsk i sammenholdte klasser : lærerveiledning 7. skoleår,,1973
1886,URN:NBN:no-nb_digibok_2012071208117,Morsmålet : arbeidsbok 1 : 7. skuleår,"Fossestøl , Bernt / Skjævesland , Sverre / Lundeby , Einar",1973
3546,URN:NBN:no-nb_digibok_2009012004137,Cappelens norskverk : grunnbok for ... skuleår : [nynorsk] : Grunnbok for 5. skuleår,"Gaarder , Inger Margrethe / Thaugland , Calli / Fossestøl , Bernt / Storaas , Thorleif / Tobiassen , Bjarne / Bosheim , Kari",1973
3927,URN:NBN:no-nb_digibok_2009070901066,Les og skriv rett. 5 : Øvingar med lang og kort o-lyd,"Gulseth , Ivar M.",1973
